timestamp,idx,old_label,new_label,undo
2026-01-29 18:27:30,3549,1,2,False
2026-01-29 18:27:44,3706,1,0,False
2026-01-29 18:27:50,3874,1,2,False
2026-01-29 18:27:55,3956,2,1,False
2026-01-29 18:27:59,3962,2,1,False
2026-01-29 18:28:19,4132,2,0,False
2026-01-29 18:28:25,4144,2,1,False
2026-01-29 18:28:27,4150,0,1,False
2026-01-29 18:28:37,4298,2,1,False
2026-01-29 18:29:11,4438,1,0,False
2026-01-29 18:29:14,4536,2,1,False
2026-01-29 18:29:15,4541,1,2,False
2026-01-29 18:29:18,4581,2,2,False
2026-01-29 18:29:29,4606,0,2,False
2026-01-29 18:29:34,4632,1,1,False
2026-01-29 18:29:37,4659,2,1,False
2026-01-29 18:29:40,4733,1,2,False
2026-01-29 18:29:47,4790,1,2,False
2026-01-29 18:30:01,5014,2,1,False
2026-01-29 18:30:03,5086,1,1,False
2026-01-29 18:30:15,5181,1,2,False
2026-01-29 18:30:17,5198,1,2,False
2026-01-29 18:30:20,5207,2,1,False
2026-01-29 18:30:22,5252,2,2,False
2026-01-29 18:30:36,5472,0,1,False
2026-01-29 18:30:40,5486,1,0,False
2026-01-29 18:30:47,5539,0,1,False
2026-01-29 18:30:55,5625,2,1,False
2026-01-29 18:31:07,5704,1,2,False
2026-01-29 18:31:12,5715,1,2,False
2026-01-29 18:31:15,5731,2,1,False
2026-01-29 18:31:24,5756,2,1,False
2026-01-29 18:31:27,5782,1,2,False
2026-01-29 18:31:29,5787,0,1,False
2026-01-29 20:49:22,381,2,1,False
2026-01-29 20:50:34,4302,1,0,False
2026-01-29 20:52:09,4632,1,0,False
2026-01-29 20:52:34,4743,0,1,False
2026-01-29 20:52:54,4897,1,0,False
2026-01-29 20:53:03,4919,1,0,False
2026-01-29 20:58:53,102,2,1,False
2026-01-29 20:59:49,826,2,1,False
2026-01-29 21:00:28,1084,1,0,False
2026-01-29 21:00:41,1382,1,0,False
2026-01-29 21:00:51,1390,1,0,False
2026-01-29 21:01:30,2346,0,1,False
2026-01-29 21:02:01,2760,2,1,False
2026-01-29 21:02:18,2851,1,2,False
2026-01-29 21:02:33,3328,1,0,False
2026-01-29 21:02:50,3400,1,0,False
2026-01-29 21:02:58,3406,1,2,False
2026-01-29 21:03:02,3543,1,2,False
2026-01-29 21:03:18,3755,2,1,False
2026-01-29 21:03:20,3791,1,1,False
2026-01-29 21:03:30,3822,1,0,False
2026-01-29 21:03:44,4232,1,2,False
2026-01-29 21:03:55,4267,1,0,False
2026-01-29 21:04:03,4428,2,1,False
2026-01-29 21:04:17,4673,1,2,False
2026-01-29 21:04:40,4759,2,1,False
2026-01-29 21:04:47,4804,1,0,False
2026-01-29 21:04:52,5084,0,1,False
2026-01-29 21:05:05,5290,2,1,False
2026-01-29 21:05:19,5364,1,2,False
2026-01-29 21:05:39,5403,2,1,False
2026-01-29 21:05:52,5461,1,0,False
2026-01-29 21:06:38,5653,0,1,False
2026-01-29 21:07:00,5921,1,0,False
2026-01-29 21:25:43,81,2,1,False
2026-01-29 21:25:47,432,2,1,False
2026-01-29 21:25:51,464,1,2,False
2026-01-29 21:26:07,538,0,1,False
2026-01-29 21:26:14,775,1,0,False
2026-01-29 21:27:19,1254,1,0,False
2026-01-29 21:27:37,1520,1,0,False
2026-01-29 21:27:40,1679,0,1,False
2026-01-29 21:28:02,1882,2,1,False
2026-01-29 21:28:20,2030,0,1,False
2026-01-29 21:28:29,2051,1,2,False
2026-01-29 21:28:37,2159,1,0,False
2026-01-29 21:28:45,2165,1,0,False
2026-01-29 21:28:54,2223,1,2,False
2026-01-29 21:29:54,2377,2,1,False
2026-01-29 21:30:06,2660,2,1,False
2026-01-29 21:30:09,2753,1,2,False
2026-01-29 21:30:11,2760,0,1,False
2026-01-29 21:30:29,3008,2,1,False
2026-01-29 21:30:33,3049,0,1,False
2026-01-29 21:30:46,3248,2,1,False
2026-01-29 21:30:49,3324,2,1,False
2026-01-29 21:31:06,3492,1,0,False
2026-01-29 21:31:11,3493,1,0,False
2026-01-29 21:31:37,3787,1,1,False
2026-01-29 21:36:14,4169,1,0,False
2026-01-29 21:36:41,4555,2,1,False
2026-01-29 21:37:01,4732,1,2,False
2026-01-29 21:37:29,5054,0,1,False
2026-01-29 21:37:37,5197,1,2,False
2026-01-29 21:37:49,5403,2,1,False
2026-01-29 21:37:58,5488,2,1,False
2026-01-29 21:38:06,5541,1,0,False
2026-01-29 21:38:29,5622,0,1,False
2026-01-29 21:38:36,5640,0,1,False
2026-01-29 21:38:45,5648,1,2,False
2026-01-29 21:38:56,5784,0,1,False
2026-01-29 21:39:01,5792,2,1,False
2026-01-29 21:39:16,6008,1,0,False
2026-01-29 21:40:11,6748,1,2,False
2026-01-29 21:40:15,6769,0,1,False
2026-01-29 21:40:33,6893,0,1,False
2026-01-29 21:40:38,6976,2,1,False
2026-01-29 21:40:43,6997,1,2,False
2026-01-29 21:40:58,7187,0,1,False
2026-01-29 21:41:07,7188,2,1,False
2026-01-29 21:41:21,7624,1,2,False
2026-01-29 21:41:33,7690,1,2,False
2026-01-29 21:41:41,7822,2,1,False
2026-01-29 21:41:44,7892,2,1,False
2026-01-29 21:41:54,8234,2,1,False
2026-01-29 21:41:58,8328,2,1,False
2026-01-29 21:42:03,8488,2,1,False
2026-01-29 21:42:05,8514,1,2,False
2026-01-29 21:42:17,8796,2,1,False
2026-01-29 21:42:22,8848,1,2,False
2026-01-29 21:42:41,9739,2,1,False
2026-01-29 21:42:48,9864,0,1,False
2026-01-29 21:42:58,10344,2,1,False
2026-01-29 21:43:13,10612,0,1,False
2026-01-29 21:43:27,10752,0,1,False
2026-01-29 21:43:50,11422,1,2,False
2026-01-29 21:43:55,11607,0,1,False
2026-01-29 21:44:06,11716,2,1,False
2026-01-29 21:44:26,11742,2,1,False
2026-01-29 21:44:41,12243,1,2,False
2026-01-29 21:44:56,12403,0,1,False
2026-01-29 21:45:03,12601,0,1,False
2026-01-29 21:45:06,12624,2,1,False
2026-01-29 21:45:21,12726,2,1,False
2026-01-29 21:45:31,12919,1,2,False
2026-01-29 21:45:42,13009,1,0,False
2026-01-29 21:45:53,13309,1,2,False
2026-01-29 21:46:12,13800,2,1,False
2026-01-29 21:46:19,14114,2,1,False
2026-01-29 21:46:37,14448,1,2,False
2026-01-29 21:46:40,14501,0,1,False
2026-01-29 21:47:09,15064,0,1,False
2026-01-29 21:47:22,15264,2,1,False
2026-01-29 21:47:49,16056,1,2,False
2026-01-29 21:47:54,16110,0,1,False
2026-01-29 21:48:02,16254,2,1,False
2026-01-29 21:48:09,16282,1,0,False
2026-01-29 21:48:29,16591,2,1,False
2026-01-29 21:48:55,16676,1,0,False
2026-01-29 21:48:59,16756,1,0,False
2026-01-29 21:49:03,16769,1,0,False
2026-01-29 21:49:11,16989,0,1,False
2026-01-29 21:49:23,17251,1,0,False
2026-01-29 21:49:29,17262,0,1,False
2026-01-29 21:49:50,17457,1,0,False
2026-01-29 21:50:07,17538,2,1,False
2026-01-29 21:50:10,17551,1,2,False
2026-01-29 21:50:15,17572,2,1,False
2026-01-29 21:50:40,17832,1,0,False
2026-01-29 21:51:13,35682,1,2,False
2026-01-29 21:51:16,35709,1,2,False
2026-01-29 21:51:19,35808,1,2,False
2026-01-29 21:51:34,36213,1,2,False
2026-01-29 21:51:44,36921,2,1,False
2026-01-29 21:51:46,36965,1,2,False
2026-01-29 21:51:54,37558,2,1,False
2026-01-29 21:51:57,37658,2,1,False
2026-01-29 21:52:03,37747,0,1,False
2026-01-29 21:52:07,37773,0,1,False
2026-01-29 21:52:14,37850,1,2,False
2026-01-29 21:52:22,37888,1,2,False
2026-01-29 21:52:48,38279,1,2,False
2026-01-29 21:53:38,39751,1,2,False
2026-01-29 21:53:49,40152,1,0,False
2026-01-29 21:53:58,40316,1,2,False
2026-01-29 21:54:03,40359,1,2,False
2026-01-29 21:54:07,40360,1,2,False
2026-01-29 21:54:30,41788,1,2,False
2026-01-29 21:54:36,42191,0,1,False
2026-01-29 21:54:43,42505,1,2,False
2026-01-29 21:54:52,42607,2,1,False
2026-01-29 21:55:09,43819,2,1,False
2026-01-29 21:55:15,43932,1,2,False
2026-01-29 21:55:18,43996,2,1,False
2026-01-29 21:55:23,44023,1,0,False
2026-01-29 21:55:35,44491,1,2,False
2026-01-29 21:55:48,44549,1,0,False
2026-01-29 21:55:55,44808,2,1,False
2026-01-29 21:56:05,45114,1,2,False
2026-01-29 21:56:17,45511,2,1,False
2026-01-29 21:56:32,46408,2,1,False
2026-01-29 21:56:35,46424,1,2,False
2026-01-29 21:56:46,46694,1,0,False
2026-01-29 21:56:54,46851,2,1,False
2026-01-29 21:57:04,46856,1,0,False
2026-01-29 21:57:10,47045,1,2,False
2026-01-29 21:57:28,48208,2,1,False
